trackName,artistName,num_stream,avg_perc_streamed,num_stream_score,skip_cume_dist,score
"Son of Beast",to1,845,98.17,100,91.96,96.71
"Rock with you",seventeen,582,97.98,99.95,91.85,96.59
"You make Me",day6,108,98.59,98.83,92.08,96.5
"Ready to love",seventeen,255,97.76,99.63,91.79,96.39
WAVE,cix,187,97.42,99.25,91.91,96.19
"0X1=LOVESONG (I Know I Love You) feat. Seori","tomorrow x together",497,97.12,99.89,91.4,96.14
"Tear Drop",sf9,289,96.99,99.68,91.74,96.14
"everything sucks (feat. Eric Nam)",vaultboy,243,97.25,99.47,91.62,96.11
Lazy,woosung,192,97.06,99.31,91.68,96.02
"Down (Kor ver.)",a.c.e,329,96.84,99.73,91.45,96.01
"Down (feat. Grey)",a.c.e,475,96.59,99.84,91.34,95.92
Cinema,cix,250,96.60,99.57,91.57,95.91
SIMPLE,seventeen,361,95.00,99.79,91.11,95.3
"One of Those Nights",key,243,94.90,99.52,91,95.14
"Like always",x1,104,94.03,98.72,91.17,94.64
"Now or Never",sf9,93,94.99,98.29,90.61,94.63
TWILIGHT,wei,87,94.54,97.97,90.66,94.39
"Mixtape : OH","stray kids",191,93.28,99.36,90.49,94.38
"From Zero","monsta x",106,92.24,98.77,89.87,93.63
"Pump It Up","golden child",58,96.60,92.16,91.28,93.35
HIGHLIGHT,seventeen,77,92.52,97.6,89.7,93.27
"Good Guy",sf9,103,91.38,98.61,89.76,93.25
"Pretty U",seventeen,140,91.06,99.15,89.47,93.23
PHOTO,verivery,87,92.80,98.03,88.74,93.19
Magic,"tomorrow x together",81,92.08,97.92,89.53,93.18
Tamed-Dashed,enhypen,30,99.66,87.68,92.02,93.12
"Love Killa","monsta x",67,92.51,96.69,89.98,93.06
FLASH,x1,64,94.63,94.19,90.21,93.01
OMG,"golden child",102,91.04,98.93,88.85,92.94
"SPIN OFF",up10tion,151,91.16,99.2,88.29,92.88
"17 (feat. Joshua and DK of SEVENTEEN)","pink sweat$",75,91.67,97.44,89.47,92.86
Lose,wonho,57,95.29,91.47,91.51,92.76
"Why Not",loona,64,93.81,94.19,89.93,92.64
"Do Re Mi",seventeen,74,91.24,97.28,88.79,92.44
Spider,hoshi,59,94.03,92.16,91.06,92.42
"Merry Bad Ending","the boyz",79,91.92,97.92,87.38,92.41
"MOON RIDER",bdc,129,90.55,99.04,86.93,92.17
Energetic,"wanna one",58,93.46,92.16,90.55,92.06
"Make A Wish (Birthday Song)","nct u",55,94.33,90.56,90.78,91.89
THANKS,seventeen,85,90.33,98.13,87.15,91.87
"We Ride","brave girls",57,93.54,91.47,90.44,91.82
"無限的我 무한적아; LIMITLESS","nct 127",72,90.11,96.91,88.4,91.81
View,shinee,103,89.44,98.67,87.04,91.72
Easy,"stray kids",99,89.78,98.51,86.64,91.64
Valkyrie,oneus,57,93.36,91.47,90.1,91.64
"pporappippam 보라빛 밤",sunmi,73,89.35,97.17,88.23,91.58
"nostalgic night",victon,61,91.34,93.17,89.59,91.37
LO$ER=LO♡ER,"tomorrow x together",41,94.30,88.53,91.23,91.35
Thunderous,"stray kids",48,93.84,89.39,90.72,91.32
Celebrity,iu,66,90.69,96.37,86.64,91.23
TRIGGER,verivery,42,94.04,88.64,90.95,91.21
"Slow Dive",a.c.e,98,89.18,98.4,85.74,91.11
BEcause,dreamcatcher,59,91.83,92.37,89.02,91.07
Colors,yunhway,56,92.30,90.83,90.04,91.06
"MOVE (Prod. by ZICO) - X1 Version",x1,62,90.97,93.17,88.96,91.03
"After Midnight",astro,56,91.30,91.68,89.64,90.87
"Pool Party (Feat. E-CHAN of DKB)","brave girls",79,89.17,97.81,85.4,90.79
"What Happened","golden child",76,88.58,97.76,85.46,90.6
LUNA,oneus,18,94.68,86.19,90.38,90.42
Anyone,seventeen,75,88.08,97.65,85.29,90.34
"B Me","stray kids",65,89.16,95.25,86.42,90.28
Look,got7,59,91.27,92.16,87.32,90.25
"Hello Stranger","stray kids",70,88.12,96.37,86.19,90.23
RIDE,knk,76,88.10,97.6,85,90.23
Epiphany,bts,61,90.50,93.17,86.98,90.22
|Believer|,sf9,40,92.36,88.53,89.47,90.12
"Under Cover",a.c.e,57,89.79,91.47,88.91,90.06
Volcano,"nct u",65,88.69,94.99,86.42,90.03
"Shoot Me",day6,63,89.64,94.19,86.19,90.01
"Oh My!",seventeen,56,90.22,91.47,88.17,89.95
Howling,victon,60,88.96,92.37,88.51,89.95
BOSS,nct,62,89.33,93.17,87.21,89.9
Sugar,"kim woo seok",66,88.52,95.25,85.91,89.89
Q&A,seventeen,67,87.92,96.11,85.57,89.87
Try,"just b",14,93.69,84.85,90.95,89.83
Nostalgia,drippin,51,90.95,89.92,88.46,89.78
"Switch It Up (feat. sokodomo) - Prod. Cha Cha Malone","jay b",56,90.24,90.83,88.17,89.75
"Work Hard",dkb,64,88.00,94.72,86.25,89.66
Flame,cravity,69,88.57,96.11,84.21,89.63
"What Do I Know","ed sheeran",29,91.31,87.41,90.15,89.62
"Feel Good (SECRET CODE)",fromis_9,69,87.83,96.37,84.21,89.47
"LET ME","golden child",60,88.86,92.64,86.87,89.46
"All Your Fault (Feat. GRAY)",yugyeom,65,87.71,95.25,85.23,89.4
"Movie Star",cix,94,87.64,98.29,82.23,89.39
"Good to Me",seventeen,64,88.66,94.19,85.12,89.32
"BLACK MIRROR",oneus,59,87.72,93.55,86.7,89.32
Going,gemini,57,89.93,91.68,86.3,89.3
"THRILL RIDE","the boyz",21,91.45,86.51,89.81,89.26
"My Turn",cravity,68,87.31,95.68,84.49,89.16
Queendom,"red velvet",22,91.86,86.77,88.57,89.07
Sacrifice,"han seungwoo",52,90.25,90.13,86.76,89.05
"I Feel So Lucky (feat. A.C.E)",hcue,44,89.87,89.01,88.17,89.02
"Bloom Bloom","the boyz",62,87.62,93.55,85.85,89.01
"On my own",woodz,55,89.18,90.56,87.27,89
"B.T.W (feat. Jay Park) - Prod. Cha Cha Malone","jay b",41,91.78,88.37,86.81,88.99
Baby,astro,66,87.66,94.99,84.21,88.95
"Life Goes On",bts,57,89.73,91.47,85.63,88.94
Bambi,baekhyun,72,85.55,97.01,84.21,88.92
Fear,seventeen,133,87.16,99.09,80.48,88.91
I.P.U,oneus,67,86.78,95.68,84.27,88.91
시작,gaho,61,88.89,92.64,85.17,88.9
"I Like That","lee jin hyuk",65,87.25,94.72,84.55,88.84
"Cherry Bomb","nct 127",69,86.16,96.11,84.21,88.83
"Move My Body",cix,46,89.97,89.33,87.1,88.8
"Adore U",seventeen,67,87.73,96.11,82.34,88.73
Together,seventeen,70,87.40,96.69,82.06,88.72
DOMINO,"stray kids",21,90.83,86.51,88.34,88.56
"Giddy Up","the boyz",57,89.27,92.16,84.21,88.55
"PTT (Paint The Town)",loona,44,89.82,89.01,86.64,88.49
"Ohh Ahh",cravity,60,87.31,93.17,84.83,88.44
COOL,"weki meki",60,87.78,92.37,84.83,88.33
"STAY YOUNG",ab6ix,63,86.52,94.19,84.21,88.31
寂寞号登机口,文俊辉,62,86.02,94.19,84.61,88.27
"Lay Back",verivery,110,85.33,98.88,80.53,88.25
